"","Nom","Sexe","Effectif","Pourcentage_Masc","Pourcentage"
"10125","pasquale","M","     9","85.245901639","85.245901639"
"10126","paterne","M","    15","75.409836066","75.409836066"
"10127","patrice","M","   349","99.734406867","99.734406867"
"10128","patricia","F","197630"," 0.001517965"," 0.001517965"
"10129","paul","M","    19","99.983066859","99.983066859"
"10130","pegguy","F","    33","21.428571429","21.428571429"
"10131","peggy","F"," 15465"," 0.309417908"," 0.309417908"
"10132","peguy","F","    55","25.675675676","25.675675676"
"10133","pepin","M","    31","78.620689655","78.620689655"
"10134","perpetue","F","    37","38.333333333","38.333333333"
"10135","petronille","F","    35","31.372549020","31.372549020"
"10136","philibert","M","    12","96.319018405","96.319018405"
"10137","philippe","M","    59","99.988063905","99.988063905"
"10138","philomene","F","   514"," 1.153846154"," 1.153846154"
"10139","pierre","M","   237","99.927826858","99.927826858"
"10140","placide","M","    36","70.731707317","70.731707317"
"10141","prisca","F","  1787"," 0.887409872"," 0.887409872"
"10142","privat","M","    34","72.800000000","72.800000000"
"10143","prosper","M","     7","97.852760736","97.852760736"
"10144","pulcherie","F","    31"," 8.823529412"," 8.823529412"
"10145","quincy","M","     3","78.571428571","78.571428571"
"10146","rachel","F"," 28415"," 0.070335854"," 0.070335854"
"10147","raja","F","   187"," 2.094240838"," 2.094240838"
"10148","raoul","M","     9","99.653446284","99.653446284"
"10149","raphael","M","    10","99.986845048","99.986845048"
"10150","rayane","M","     3","99.938144330","99.938144330"
"10151","raymond","M","     6","99.985652455","99.985652455"
"10152","rehane","F","    13","18.750000000","18.750000000"
"10153","reine","F","  4024"," 0.396039604"," 0.396039604"
"10154","remi","M","    15","99.978959771","99.978959771"
"10155","remy","M","     9","99.983152062","99.983152062"
"10156","rene","M","    13","99.984209695","99.984209695"
"10157","richard","M","    12","99.982320442","99.982320442"
"10158","rigobert","M","    17","93.840579710","93.840579710"
"10159","rim","F","   293"," 2.657807309"," 2.657807309"
"10160","robert","M","    19","99.978036206","99.978036206"
"10161","robin","M","    11","99.958789150","99.958789150"
"10162","rodolphe","M","     8","99.949466237","99.949466237"
"10163","roger","M","    51","99.920866435","99.920866435"
"10164","romain","M","    15","99.991132184","99.991132184"
"10165","romane","F"," 25123"," 0.071596197"," 0.071596197"
"10166","romuald","M","    22","99.861730878","99.861730878"
"10167","romy","F","   700"," 1.685393258"," 1.685393258"
"10168","rony","M","     3","99.662162162","99.662162162"
"10169","rosalie","F","  1619"," 1.700060716"," 1.700060716"
"10170","rosario","M","    77","68.312757202","68.312757202"
"10171","rose","F"," 14891"," 0.073815595"," 0.073815595"
"10172","sabas","M","    37","69.918699187","69.918699187"
"10173","sabine","F"," 55555"," 0.005399762"," 0.005399762"
"10174","sacha","M","   743","94.478709965","94.478709965"
"10175","sadio","F","   224","31.498470948","31.498470948"
"10176","sainte","M","    29","65.060240964","65.060240964"
"10177","sainte-croix","M","     5","91.666666667","91.666666667"
